Fid,Line,E_Nad83,N_Nad83,Lon,Lat,Alt,Height,DEM,Date,Time,Base_Mag,Diurnal,Mag_Filt,Mag_Raw,TMI,RMF,igrf,inc,dec
833032.1,106701,700083.706706817,444137.061007822,-87.7367505852939,44.4481131119326,287.151913673344,30.8242433829233,256.327670290421,2021/01/27,15:23:52,-9999.99,-6.40863827815002,54503.6670767968,54503.7038,54510.0757150749,61.3217343835058,54448.7539806914,70.8352532214565,-4.46398039278313
833052.1,106701,699682.435021191,444269.665946586,-87.7417437862889,44.449405789932,300.390954938319,58.3001344374721,242.090820500847,2021/01/27,15:24:12,-9999.99,-6.19130770541794,54492.1959132274,54492.198,54498.3872209329,49.2420244307868,54449.1451965021,70.8364193049473,-4.4601877750965
833072.1,106701,699301.538278183,444439.585231891,-87.7464684193813,44.4510288761695,295.165255423496,52.4492135897752,242.71604183372,2021/01/27,15:24:32,-9999.99,-6.40142157169601,54497.3036634833,54497.276993116,54503.705085055,53.5258017680753,54450.1792832869,70.8378286834721,-4.45668207403826
833092.1,106701,698900.13760116,444586.867443484,-87.7514586492278,44.4524532043471,283.679661761525,32.1283890539956,251.55127270753,2021/01/27,15:24:52,-9999.99,-6.57472033199505,54509.6704200698,54509.7029541881,54516.2451404018,64.9281163082196,54451.3170240936,70.8391104170564,-4.45293497446959
833112.1,106701,698532.369082293,444744.200296787,-87.7560232649168,44.453959431317,290.028777777662,32.8730138669599,257.155763910702,2021/01/27,15:25:12,-9999.99,-6.35773819912433,54525.7697567992,54525.7984,54532.1274949983,80.1568133763867,54451.970681622,70.840416883798,-4.44952701107459
833132.1,106701,698141.880408675,444893.393832915,-87.7608762810386,44.4553978569624,291.600116092023,26.8959201453035,264.70419594672,2021/01/27,15:25:32,-9999.99,-6.15479390244778,54555.6941513791,54555.6281,54561.8489452816,109.106695222959,54452.7422500586,70.8416910276491,-4.445880298384
833152.1,106701,697767.399100297,445079.315399443,-87.7655158812565,44.4571625484983,296.936558870881,29.9582581313044,266.978300739577,2021/01/27,15:25:52,-9999.99,-6.22209908517797,54586.4592651642,54586.4549028503,54592.6813642494,139.146245785749,54453.5351184637,70.8431896825289,-4.44245630334584
833172.1,106701,697369.542567471,445221.629781541,-87.7704643094618,44.4585405027087,311.133774248973,51.8485853289741,259.285188919999,2021/01/27,15:26:12,-9999.99,-6.31140330725511,54620.1924873037,54620.2882,54626.5038906109,172.572231560909,54453.93165905,70.8444130725147,-4.43871136593144
833192.1,106701,696974.854405819,445386.901731125,-87.7753653341951,44.4601239971998,314.391615921851,45.6335728805895,268.758043041261,2021/01/27,15:26:32,-9999.99,-6.19172692771234,54654.2846885021,54654.3452,54660.4764154298,205.758417872828,54454.7179975569,70.8457928440035,-4.43504834452503
833212.1,106701,696628.446830214,445530.660533092,-87.7796675027071,44.4615019601735,315.108049692836,40.9781052175108,274.129944475326,2021/01/27,15:26:52,-9999.99,-6.04718385322495,54689.534786759,54689.5318,54695.5819706122,240.118961060558,54455.4630095517,70.8469967361604,-4.43183244584952
833232.1,106701,696286.59294028,445708.745308422,-87.7839009897128,44.4631874519513,305.918075782056,31.4617097077286,274.456366074327,2021/01/27,15:27:12,-9999.99,-6.16352561124052,54749.6194411647,54748.9185861261,54755.7829667759,299.172326316148,54456.6106404598,70.8484296098284,-4.42873189060811
833252.1,106701,695912.642304679,445852.509684209,-87.7885495876191,44.4645718540475,315.849147370376,44.1981996371419,271.650947733234,2021/01/27,15:27:32,-9999.99,-6.30048644952669,54733.8570584538,54733.8432,54740.1575449033,283.042374399185,54457.1151705041,70.8496460821765,-4.42523091422616
833272.1,106701,695517.671368224,446014.765709753,-87.7934562055631,44.4661275275094,305.984232779912,37.1401909436067,268.844041836305,2021/01/27,15:27:52,-9999.99,-6.20322668616489,54674.7177631419,54674.6753,54680.9209898281,222.664425330753,54458.2565644973,70.8510154530425,-4.42156874187839
833292.1,106701,695081.285915282,446160.017091765,-87.7988891223504,44.4675400515706,298.600541495371,37.1374054221504,261.46313607322,2021/01/27,15:28:12,-9999.99,-6.19148926989913,54634.2943934206,54634.3585133296,54640.4858826905,181.194381386224,54459.2915013043,70.8523023651956,-4.41745790843773
833312.1,106701,694660.205921825,446323.552905801,-87.804123856634,44.4691131130242,293.387369465006,32.8358512165182,260.551518248488,2021/01/27,15:28:32,-9999.99,-6.37237753767232,54676.7273073062,54676.6655704341,54683.0996848438,222.775921221066,54460.3237636228,70.8536949799802,-4.41353086924529
833332.1,106701,694249.448184789,446499.395636764,-87.8092250530336,44.4707941662257,294.348425263182,35.3979892582469,258.950436004935,2021/01/27,15:28:52,-9999.99,-6.37915570109622,54741.4194086181,54741.4455,54747.7985643192,286.57642428801,54461.2221400312,70.8551546791983,-4.40972350751974
833352.1,106701,693843.953910413,446678.078390295,-87.8142594658202,44.4724992801345,289.901729145098,34.1067077465133,255.795021398585,2021/01/27,15:29:12,-9999.99,-6.24409659509031,54741.2531950294,54741.2068,54747.4972916245,285.218512334293,54462.2787792902,70.856632966476,-4.40597802189705
833372.1,106701,693427.85493329,446853.158131013,-87.8194286270497,44.4741743088352,285.744009363163,31.3130186340148,254.430990729149,2021/01/27,15:29:32,-9999.99,-6.34192178740284,54732.3608463329,54732.3811552191,54738.7027681203,275.382398829228,54463.3203692911,70.8580949092421,-4.40211877182057
833392.1,106701,692989.478959685,447030.94002228,-87.8248770918994,44.4758787513327,286.068270393929,38.7651021146478,247.303168279282,2021/01/27,15:29:52,-9999.99,-6.61089394436686,54751.6575503927,54751.6129,54758.268444337,294.007810840798,54464.2606334962,70.8595870013356,-4.39803626985187
833412.1,106701,692539.726829632,447205.326128227,-87.8304699576608,44.4775551065905,292.962744874531,48.6813379649852,244.281406909546,2021/01/27,15:30:12,-9999.99,-6.61673564541866,54798.5701223642,54798.582,54805.1868580096,340.175689149582,54465.0111688601,70.861059360658,-4.39382721285814
